269034.00 298.26 4.60 4.19 0.34 3532500.00 3.18 191.99 -21.61 -227.23 49.93 73.38 40.05 1190070.00 2315970.00
71332.00 297.30 5.52 4.31 0.19 2623650.00 2.39 112.95 93.68 -258.56 9.23 34.75 -88.69 1243370.00 1994900.00
16634.00 299.86 7.75 6.39 0.69 16388700.00 5.33 135.60 -225.98 -143.03 -3.99 63.27 -65.69 2095200.00 5592830.00
263460.00 298.33 7.29 5.53 0.31 7249070.00 4.84 77.87 -0.29 -287.98 43.27 85.80 109.58 2074730.00 3924790.00
256810.00 299.90 4.77 4.46 0.36 4432910.00 3.29 34.63 -39.57 -295.25 -53.81 113.02 -20.40 1323590.00 2627360.00
299812.00 299.96 7.92 5.65 0.19 3594620.00 2.78 24.88 139.46 -264.40 8.31 14.01 14.17 2175400.00 3080550.00
279658.00 298.90 4.19 4.10 1.04 10234200.00 5.28 91.20 -121.61 -257.36 -178.03 91.12 -5.02 797099.00 2221430.00
257642.00 296.28 4.33 3.49 0.21 1396440.00 0.98 86.24 -5.45 -283.40 22.32 62.03 120.22 828072.00 1329420.00
40228.00 299.78 4.14 3.48 0.39 2688850.00 2.84 -23.99 10.93 -298.62 -48.80 106.18 1.51 778787.00 1648340.00
111538.00 298.89 5.40 5.02 0.24 4941630.00 3.45 52.42 -243.92 -164.60 46.07 64.28 126.06 1736430.00 3030280.00
112562.00 299.84 4.15 3.24 0.10 659294.00 0.71 40.77 -255.69 -151.21 28.68 23.63 56.64 564442.00 675950.00
72996.00 298.16 6.30 6.00 0.51 11378100.00 3.88 15.08 6.04 -297.71 -42.84 120.30 -15.13 2224790.00 4996720.00
280498.00 298.95 4.64 4.12 0.22 1793440.00 1.38 124.49 -251.64 -102.73 40.30 -53.04 4.77 1160300.00 1683290.00
223012.00 294.41 4.29 3.56 0.29 1861240.00 2.23 58.29 76.07 -278.38 -17.45 34.47 -104.55 877486.00 1515840.00
129834.00 298.29 7.08 4.98 0.23 4555500.00 4.58 -15.38 -44.39 -294.57 15.03 72.98 117.61 1711870.00 2872010.00
